objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template
ARTH_321_img019,ARTH_321_img019.jpg,Portrait of a Woman (Francesca Scolari) and a Man (Bonacorso Pitti) at a Casement,"Lippi, Filippo (ca. 1406-1469)",1440,"Tempera on wood, 64.1 x 41.9 cm. Inscribed (edge of woman's cuff): lealt[a] (loyalty) ","From Typology to Individuality: Portraiture, Identity, Gender","The Metropolitan Museum of Art, New York, NY, USA",,,Artstor; The Metropolitan Museum of Art,,Image;StillImage,image/jpeg,eng,Public Domain,https://creativecommons.org/publicdomain/zero/1.0/,image
ARTH_321_img020,ARTH_321_img020.jpg,Ginevra de'Benci,Leonardo da Vinci (1452-1519),1474,Oil on panel. 42.7 x 37 cm,"From Typology to Individuality: Portraiture, Identity, Gender","The National Gallery of Art, Washington, D.C., USA",,,"Artstor; The National Gallery of Art (Washington, D.C.)",,Image;StillImage,image/jpeg,eng,"Image: Courtesy of National Gallery of Art, Washington",https://about.jstor.org/terms/,image
ARTH_321_img021,ARTH_321_img021.jpg,Portrait of Agnolo Doni,Raphael (1483-1520),1506,Oil on panel. 63 x 45 cm.,"From Typology to Individuality: Portraiture, Identity, Gender","Galeria Palatina, Florence, Italy",,,"Artstor; Image and original data provided by SCALA, Florence/ART RESOURCE, N.Y.",,Image;StillImage,image/jpeg,eng,"(c) 2006, SCALA, Florence/ART RESOURCE, N.Y.",https://about.jstor.org/terms/,image
ARTH_321_img022,ARTH_321_img022.jpg,Portrait of Maddalena Strozzi,Raphael (1483-1520),1506,Oil on panel. 63 x 45 cm.,"From Typology to Individuality: Portraiture, Identity, Gender","Galeria Palatina, Florence, Italy",,,"Artstor; Image and original data provided by SCALA, Florence/ART RESOURCE, N.Y.",,Image;StillImage,image/jpeg,eng,"(c) 2006, SCALA, Florence/ART RESOURCE, N.Y.",https://about.jstor.org/terms/,image
ARTH_321_img023,ARTH_321_img023.jpg,Self Portrait with Bernardino Campi,Sofonisba Anguissola (ca. 1532-1625),1550,Oil on canvas. 111 x 109.5 cm,"From Typology to Individuality: Portraiture, Identity, Gender","Pinacoteca Nazionale, Sienna, Italy",,,"Fig 17 from Self Portrait: Renaissance to Contemporary (Anthony Bond, Joanna Woodall, ISBN 978-1855143579); https://commons.wikimedia.org/wiki/File:Self-portrait_with_Bernardino_Campi_by_Sofonisba_Anguissola.jpg",,Image;StillImage,image/jpeg,eng,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/deed.en,image
ARTH_321_img024,ARTH_321_img024.jpg,Anatomical Studies,Leonardo da Vinci (1452-1519),1508,Pen and ink on paper,"The Cinquecento and the Emergence of Vasari's 'Third Age': Leonardo, Raphael, and Michelangelo",,,,,,Image;StillImage,image/jpeg,eng,,,image
ARTH_321_img025,ARTH_321_img025.jpg,David,"Buonarroti, Michaelangelo (1475-1564)",1501-1504,"Marble, 517 cm. Commissioned by the Arte della Lana for the north tribune of the Duomo, Florence. Upon completion installed in front of the Palazzo della Signoria ","The Cinquecento and the Emergence of Vasari's 'Third Age': Leonardo, Raphael, and Michelangelo","Galleria dell'Accademia, Florence, Italy",,,https://commons.wikimedia.org/wiki/File:Michelangelo%27s_David_-_right_view_2.jpg,,Image;StillImage,image/jpeg,eng,"Creative Commons, photograph by Commonists",https://creativecommons.org/licenses/by-sa/3.0/deed.en,image
ARTH_321_img026,ARTH_321_img026.jpg,Madonna in the Meadow,Raphael (1483-1520),1505-1506,Oil on panel. 113 x 88.5 cm. Patron: Taddeo Taddei,"The Cinquecento and the Emergence of Vasari's 'Third Age': Leonardo, Raphael, and Michelangelo","Kunsthistorisches Museum, Vienna, Austria",,,https://www.khm.at/objektdb/detail/1502/,,Image;StillImage,image/jpeg,eng,"Image: Courtesy of Kunsthistorisches Museum, Vienna, Austria",https://www.khm.at/typo3conf/ext/objectdb/Resources/Public/AGB_Bilddatenbank.pdf,image
ARTH_321_img027,ARTH_321_img027.jpg,Church of San Pietro in Montorio,"Bramante, Donato (1444-1514)",1502-1510,Commissioned by King Ferdinand and Queen Isabella of Spain. Dome and lantern were restored in the 17th century.,All Roads Lead to the Rome of Pope Julius II,"Rome, Italy",,,"https://commons.wikimedia.org/wiki/File:Tempietto,_Haupteingang.jpg",,Image;StillImage,image/jpeg,eng,"Creative Commons, photograph by JTSH26",https://creativecommons.org/licenses/by-sa/3.0/deed.en,image
ARTH_321_img028,ARTH_321_img028.jpg,Sistine Chapel,,1475-1481,,All Roads Lead to the Rome of Pope Julius II,"Vatican City, Italy",,,https://m.museivaticani.va/content/museivaticani-mobile/en/collezioni/musei/cappella-sistina/storia-cappella-sistina.html,,Image;StillImage,image/jpeg,eng,"Image: Courtesy of Vatican Museums, Vatican City, Italy",,image
ARTH_321_img029,ARTH_321_img029.jpg,"Sistine Chapel, Ceiling Frescoes","Buonarroti, Michaelangelo (1475-1564)",1508-1512,Fresco,All Roads Lead to the Rome of Pope Julius II,"Sistine Chapel, Vatican City, Italy",,,"Artstor; Image and original data provided by Erich Lessing Culture and Fine Arts Archives/ART RESOURCE, N.Y.",,Image;StillImage,image/jpeg,eng,"Photo Credit: Erich Lessing/ART RESOURCE, N.Y.",https://about.jstor.org/terms/,image
ARTH_321_img030,ARTH_321_img030.jpg,The Last Judgement,"Buonarroti, Michaelangelo (1475-1564)",1536-1541,"Fresco, 1370 x 1220 cm",All Roads Lead to the Rome of Pope Julius II,"Sistine Chapel, Vatican City, Italy",,,https://commons.wikimedia.org/wiki/File:Last_Judgement_(Michelangelo).jpg,,Image;StillImage,image/jpeg,eng,Public Domain,https://creativecommons.org/publicdomain/zero/1.0/,image
ARTH_321_img031,ARTH_321_img031.jpg,Philosophy (The School of Athens),Raphael (1483-1520),1508-1512,"Fresco, Patron: Pope Julius II",All Roads Lead to the Rome of Pope Julius II,"Stanza della Segnatura, Vatican Palace, Vatican City",,,"Artstor; Image and original data provided by SCALA, Florence/ART RESOURCE, N.Y.",,Image;StillImage,image/jpeg,eng,"(c) 2006, SCALA, Florence / ART RESOURCE, N.Y.",https://about.jstor.org/terms/,image
ARTH_321_img032,ARTH_321_img032.jpg,Self Portrait in a Convex Mirror,Parmigianino (1503-1540),1523-1524,Oil on convex panel. 24.4 x 24.4 cm,Maniera: High Renaissance Classicism Questioned,"Kunsthistorisches Museum, Vienna, Austria",,,https://www.khm.at/objektdb/detail/1407/,,Image;StillImage,image/jpeg,eng,"Image: Courtesy of Kunsthistorisches Museum, Vienna, Austria",https://www.khm.at/typo3conf/ext/objectdb/Resources/Public/AGB_Bilddatenbank.pdf,image
ARTH_321_img033,ARTH_321_img033.jpg,Sala dei Giganti: The Gods on Mount Olympus and the Fall of the Giants detail of west and south walls,"Romano, Giulio (1499-1546); Rinaldo Mantovano (active 1528-1564)",1530-1532,Fresco,Maniera: High Renaissance Classicism Questioned,"Palazzo del Te, Mantua, Italy",,,"Artstor; Image and original data provided by SCALA, Florence/ART RESOURCE, N.Y.",,Image;StillImage,image/jpeg,eng,"(c) 2006, SCALA, Florence / ART RESOURCE, N.Y.",https://about.jstor.org/terms/,image
ARTH_321_img034,ARTH_321_img034.jpg,Descent from the Cross,Pontormo (1494-1557),1526-1528,"Oil on Panel, 313 x 192 cm. Patron: Ludovico di Gino Capponi, for the Capponi Chapel, Santa Felicita, Florence",Maniera: High Renaissance Classicism Questioned,"Capponi Chapel, Florence, Italy",,,"Artstor; Image and original data provided by Erich Lessing Culture and Fine Arts Archives/ART RESOURCE, N.Y.",,Image;StillImage,image/jpeg,eng,"Photo Credit: Erich Lessing/ART RESOURCE, N.Y.",https://about.jstor.org/terms/,image
ARTH_321_img035,ARTH_321_img035.jpg,Perseus with the Head of Medusa,"Cellini, Benvenuto (1500-1571)",1545-1553,"Bronze (originally gilt), on ornamented marble pedestal with additional statues of Jupiter, Danae and the baby Perseus, Minerva, and Mercury, 550 cm.",Maniera: High Renaissance Classicism Questioned,"Loggia dei Lanzi, Florence, Italy",,,"Artstor; Visual Resources Center, Department of Art History, University of Delaware, Newark, Delaware 19716",,Image;StillImage,image/jpeg,eng,"Artwork in the public domain, J. M. Katzmire, Photographer","Use of materials from this collection beyond the exceptions provided for in the Fair Use and Educational Use clauses of U.S. Copyright Law may violate federal law. Permission to publish is required from the copyright holder. Please contact the Visual Resources Collection, Department of Art History, University of Delaware, at visualresources@udel.edu.",image
ARTH_321_img036,ARTH_321_img036.jpg,The Tempest,Giorgione (1477-1510),1509,"Oil on canvas, 82 x 73 cm. Possibly commissioned by Gabriele Vendramin.","Venice: Poesia, Desire and Painting","Gallerie dell'Accademia, Venice, Italy",,,https://commons.wikimedia.org/wiki/File:Accademia_-_La_tempesta_-_Giorgione.jpg,,Image;StillImage,image/jpeg,eng,"Creative Commons, photograph by Didier Descouens",https://creativecommons.org/licenses/by-sa/3.0/deed.en,image
ARTH_321_img037,ARTH_321_img037.jpg,Venus of Urbino,Titian (ca. 1488-1576),1538,"Oil on canvas, 119 x 165 cm. Possibly commissioned by Guidobaldo dell Rovere.","Venice: Poesia, Desire and Painting","Uffizi Gallery, Florence, Italy",,,"Artstor; Image and original data provided by SCALA, Florence/ART RESOURCE, N.Y.",,Image;StillImage,image/jpeg,eng,"(c) 2006, SCALA, Florence / ART RESOURCE, N.Y.",https://about.jstor.org/terms/,image
ARTH_321_img038,ARTH_321_img038.jpg,The Flaying of Marsyas,Titian (ca. 1488-1576),1570-1576,"Oil on canvas, 220 x 204 cm.  Patron: Titian himself.","Venice: Poesia, Desire and Painting","Kromik Archdiocesan Museum, Czech Republic",,,https://commons.wikimedia.org/wiki/File:Titian_-_The_Flaying_of_Marsyas.jpg,,Image;StillImage,image/jpeg,eng,Public Domain,https://creativecommons.org/publicdomain/zero/1.0/,image
